management,ma_name
A: Alicia Local Government Office  (ALGU),Alicia
A: Bindoy Fishery Management Access,Bindoy
A: Burgos Local Government Unit -BLGU,Burgos
A: Buug Local Government Unit (BLGU)  & Municipal Agriculture Office (MAO),Buug
A: Dapa Local Government Unit (DLGU),Dapa
A: Del Carmen Local Government Unit-DCLGU,Del Carmen
A: Iniban Fishery Management Access,Ayungon
A: Ipil Local Government Unit and Municipal Environmental & Resources Office-ILGU&MENRO,Ipil
A: Libertad Local Government Unit-LLGU,Libertad
A: Mabuhay Local Government Unit (MLGU-MPARO),Mabuhay
A: Malangas Local Government Unit (MLGU),Malangas
A: Naga Local Government Unit-NLGU,Naga
A: Olutanga Local Government Unit-OLGU,Olutanga
A: Payao Local Government Unit-PLGU,Payao
A: R. T. Lim Local Government Unit-TLGU,Roseller Lim
A: San Carlos Local Government Unit-SCLGU),San Carlos
A: Talusan Local Goverment Unit (TLGU),Talusan
A: Tinambac Local Government Unit and AGCA People Organizations (TLGU & POs),Tinambac
A: Tungawan Local Goverment Unit (TLGU),Tungawan
B: Alicia Local Government Office  (ALGU),Alicia
B: Bindoy Fishery Management Access,Bindoy
B: Dapa Local Government Unit (DLGU),Dapa
B: Del Carmen Local Government Unit-DCLGU,Del Carmen
B: Iniban Fishery Management Access (IFMA),Ayungon
B: Ipil Local Government Unit and Municipal Environment & Resources Office-ILGU&MENRO,Ipil
B: Libertad Local Government Unit-LLGU,Libertad
B: Mabuhay Local Government Unit (MLGU-MPARO),Mabuhay
B: Naga Local Government Unit-NLGU,Naga
B: Olutanga Local Government Unit-OLGU,Olutanga
B: San Carlos Local Government Unit-SCLGU),San Carlos
B: Talusan Local Goverment Unit (TLGU),Talusan
B: Tinambac Local Government Unit and AGCA People Organizations (TLGU-POs),Tinambac
B: Tungawan Local Goverment Unit (TLGU),Tungawan
C: San Carlos Local Government Unit-SCLGU,San Carlos
C: Sta Monica Local Government Unit-SMLGU,Santa Monica
Gen. Luna Local Government Unit-GLGU,General Luna
Gen. Luna Local Government Unit-GLGU.,General Luna
Pilar Local Government unit -PLGU,Pilar Siargao
Pilar Local Government Unit-PLGU,Pilar Siargao
San Benito Local Government Unit-SBLGU,San Benito
Socorro Local Government Unit (PLGU),Socorro
Sta. Monica Local Government Unit-SMLGU,Santa Monica
Tinambac Local Government Unit and People Organization (TLGU & POs),Tinambac
Tinambac Local Government Unit and People Organizations (TLGU & POs),Tinambac
